context;pronoun_target;make;second_verb;is_back;is_prefix_used_differently;aspect;neg;has_oblect
Что ты думаешь о творчестве Ольги Бузовой? — Сделайте меня не видеть и не слышать этот ужас;меня;сделайте;видеть;нет;нет;несов.;отрицание;да
Что ты думаешь о творчестве Ольги Бузовой? — Сделайте меня не видеть и не слышать этот ужас;меня;сделайте;слышать;нет;да;несов.;отрицание;да
Заставьте мне идти учить конспекты на завтра;мне;заставьте;идти учить;нет;да;несов.;ничего;да
Ребят, заставьте мне идти делать английский;мне;заставьте;идти делать;нет;да;несов.;ничего;да
МНЕ СКАЗАЛИ КАКОЕ СОЧИНЕНИЕ ПИСАТЬ НАДО ЗАСТАВЬТЕ МНЕ ЕГО ТЕПЕРЬ ПИСАТЬ ПО ТВИТТЕРСКИ АА;мне;заставьте;писать;нет;да;несов.;ничего;да
Кто-нибудь заставьте мне уже сесть на диету и накачать задницу;мне;заставьте;сесть;нет;нет;несов.;ничего;нет
Кто-нибудь заставьте мне уже сесть на диету и накачать задницу;мне;заставьте;накачать;нет;нет;сов.;ничего;да
заставьте мне встать;мне;заставьте;встать;нет;нет;сов.;ничего;нет
Кто-нибудь заставьте мне учить этот дурацкий стих!;мне;заставьте;учить;нет;да;несов.;ничего;да
Заставьте мне сделать уроки.....;мне;заставьте;сделать;нет;нет;сов.;ничего;да
Заставьте мне что нибудь сделать в этой жизни;мне;заставьте;сделать;нет;нет;сов.;ничего;да
Заставьте мне досмотреть МО и начать смотреть Волчонка;мне;заставьте;досмотреть;нет;нет;сов.;ничего;да
Заставьте мне досмотреть МО и начать смотреть Волчонка;мне;заставьте;смотреть;нет;да;несов.;ничего;да
Кто-нибудь, заставьте мне доделать литературу, пожалуйста;мне;заставьте;доделать;нет;нет;сов.;ничего;да
Кто-нибудь заставьте мне делать билеты...а то мой батя отключит до конца четверти мне инет :<;мне;заставьте;делать;нет;да;несов.;ничего;да
Кто-нибудь, ну заставьте мне делать работу, аааа.. Мне нужно 5 отчетов составлять ну емое, а я сижу и туплю и нифига не делаю эээх;мне;заставьте;делать;нет;да;несов.;ничего;да
А сейчас заставьте мне кто-нибудь напечатать этот проэхт;мне;заставьте;напечатать;нет;нет;сов.;ничего;да
Кто-нить заставьте мне делать дз уже аа;мне;заставьте;делать;нет;да;несов.;ничего;да
Кто-нибудь заставьте мне сходить в магазин за колготками, или хотя бы купите мне их.. Народ мне не в чем ходить!;мне;заставьте;сходить;нет;нет;сов.;ничего;нет
заставьте мне это перевести;мне;заставьте;перевести;нет;нет;сов.;ничего;да
А заставьте мне прекратить слушать восходящую звезду клауд-рэпа (что это вообще?);мне;заставьте;слушать;нет;нет;несов.;ничего;да
